ft,at,sl,med,lanes,terrain,capacity
PrArterial,Rural,55,NonRestrictive,1,level,1080
MinArterial,Rural,55,NonRestrictive,1,level,900
Collector,Rural,55,NonRestrictive,1,level,850
Local,Rural,55,NonRestrictive,1,level,800
Freeway,Urban,60,NonRestrictive,1,level,4262
MLHighway,Urban,60,NonRestrictive,1,level,3688
TLHighway,Urban,60,NonRestrictive,1,level,1249
PrArterial,Urban,60,NonRestrictive,1,level,1260
MinArterial,Urban,60,NonRestrictive,1,level,1080
Collector,Urban,60,NonRestrictive,1,level,750
Local,Urban,60,NonRestrictive,1,level,700
Freeway,Suburban,60,NonRestrictive,1,level,4203
MLHighway,Suburban,60,NonRestrictive,1,level,3808
TLHighway,Suburban,60,NonRestrictive,1,level,1249
PrArterial,Suburban,60,NonRestrictive,1,level,1080
MinArterial,Suburban,60,NonRestrictive,1,level,900
Collector,Suburban,60,NonRestrictive,1,level,850
Local,Suburban,60,NonRestrictive,1,level,800
Freeway,Rural,60,NonRestrictive,1,level,4145
MLHighway,Rural,60,NonRestrictive,1,level,3771
TLHighway,Rural,60,NonRestrictive,1,level,1249
PrArterial,Rural,60,NonRestrictive,1,level,1080
MinArterial,Rural,60,NonRestrictive,1,level,900
Collector,Rural,60,NonRestrictive,1,level,850
Local,Rural,60,NonRestrictive,1,level,800
Freeway,Urban,65,NonRestrictive,1,level,4262
MLHighway,Urban,65,NonRestrictive,1,level,3688
TLHighway,Urban,65,NonRestrictive,1,level,1249
PrArterial,Urban,65,NonRestrictive,1,level,1260
MinArterial,Urban,65,NonRestrictive,1,level,1080
Collector,Urban,65,NonRestrictive,1,level,750
Local,Urban,65,NonRestrictive,1,level,700
Freeway,Suburban,65,NonRestrictive,1,level,4203
MLHighway,Suburban,65,NonRestrictive,1,level,3808
TLHighway,Suburban,65,NonRestrictive,1,level,1249
PrArterial,Suburban,65,NonRestrictive,1,level,1080
MinArterial,Suburban,65,NonRestrictive,1,level,900
Collector,Suburban,65,NonRestrictive,1,level,850
Local,Suburban,65,NonRestrictive,1,level,800
Freeway,Rural,65,NonRestrictive,1,level,4145
MLHighway,Rural,65,NonRestrictive,1,level,3771
TLHighway,Rural,65,NonRestrictive,1,level,1249
PrArterial,Rural,65,NonRestrictive,1,level,1080
MinArterial,Rural,65,NonRestrictive,1,level,900
Collector,Rural,65,NonRestrictive,1,level,850
Local,Rural,65,NonRestrictive,1,level,800
Freeway,Urban,25,None,1,level,4262
MLHighway,Urban,25,None,1,level,3337
TLHighway,Urban,25,None,1,level,1249
PrArterial,Urban,25,None,1,level,1260
MinArterial,Urban,25,None,1,level,1080
Collector,Urban,25,None,1,level,750
Local,Urban,25,None,1,level,700
Freeway,Suburban,25,None,1,level,4203
